Conductores por Canalización,NoDiv,Div
1-3,100,N/A
4-6,80,80
7-9,70,70
10-20,50,70
21-24,45,70
25-30,45,60
31-40,40,60
41-42,35,60
43-más,35,50

Temperatura Ambiente,60,75,90
10,1.29,1.2,1.15
15,1.22,1.15,1.12
20,1.15,1.11,1.08
25,1.08,1.05,1.04
30,1,1,1
35,0.91,0.94,0.96
40,0.82,0.88,0.91
45,0.71,0.82,0.87
50,0.58,0.75,0.82
55,0.41,0.67,0.76
60,N/A,0.58,0.71
65,N/A,0.47,0.65
70,N/A,0.33,0.58
75,N/A,N/A,0.5
80,N/A,N/A,0.41
85,N/A,N/A,0.29

AWGKcmil,mm2,CanCu60,CanCu75,CanCu90,CanAl60,CanAl75,CanAl90,LibCu60,LibCu75,LibCu90,LibAl60,LibAl75,LibAl90,XlPVC,XlAluminio,XlAcero,CuPVC,CuAluminio,CuAcero,AlPVC,AlAluminio,AlAcero
16,1.31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
14,2.08,15,20,25,N/A,N/A,N/A,25,30,35,N/A,N/A,N/A,0.19,0.19,0.24,10.2,10.2,10.2,N/A,N/A,N/A
12,3.3,20,25,30,15,20,25,30,35,40,25,30,35,0.177,0.177,0.223,6.6,6.6,6.6,10.5,10.5,10.5
10,5.25,30,35,40,25,30,35,40,50,55,35,40,45,0.164,0.164,0.207,3.9,3.9,3.9,6.6,6.6,6.6
8,8.36,40,50,55,35,40,45,60,70,80,45,55,60,0.171,0.171,0.213,2.56,2.56,2.56,4.3,4.3,4.3
6,13.29,55,65,75,40,50,55,80,95,105,60,75,80,0.167,0.167,0.21,1.61,1.61,1.61,2.66,2.66,2.66
4,21.14,70,85,95,55,65,75,105,125,140,80,100,110,0.157,0.157,0.197,1.02,1.02,0.02,1.67,1.67,1.67
3,26.66,85,100,115,65,75,85,120,145,165,95,115,130,0.154,0.154,0.194,0.82,0.82,0.82,1.31,1.35,1.31
2,33.62,95,115,130,75,90,100,140,170,190,110,135,150,0.148,0.148,0.187,0.62,0.66,0.66,1.05,1.05,1.05
1,42.2,110,130,145,85,100,115,165,195,220,130,155,175,0.151,0.151,0.187,0.49,0.52,0.52,0.82,0.85,0.82
1/0,53.5,125,150,170,100,120,135,195,230,260,150,180,205,0.144,0.144,0.18,0.39,0.43,0.39,0.66,0.69,0.66
2/0,67.44,145,175,195,115,135,150,225,265,300,175,210,235,0.141,0.141,0.177,0.33,0.33,0.33,0.52,0.52,0.52
3/0,85.02,165,200,225,130,155,175,260,310,350,200,240,270,0.138,0.138,0.171,0.253,0.269,0.259,0.43,0.43,0.43
4/0,107.21,195,230,260,150,180,205,300,360,405,235,280,315,0.135,0.135,0.167,0.203,0.22,0.207,0.33,0.36,0.33
250,126.67,215,255,290,170,205,230,340,405,455,265,315,355,0.135,0.135,0.171,0.171,0.187,0.177,0.279,0.295,0.282
300,152.01,240,285,320,195,230,260,375,445,505,290,350,395,0.135,0.135,0.167,0.144,0.161,0.148,0.233,0.249,0.236
350,177.34,260,310,350,210,250,280,420,505,570,330,395,445,0.131,0.131,0.164,0.125,0.141,0.128,0.2,0.217,0.207
400,202.68,280,335,380,225,270,305,455,545,615,355,425,480,0.131,0.131,0.161,0.108,0.125,0.115,0.177,0.194,0.18
500,253.35,320,380,430,260,310,350,515,620,700,405,485,545,0.128,0.128,0.157,0.089,0.105,0.095,0.141,0.157,0.148
600,304.02,350,420,475,285,340,385,575,690,780,455,545,615,0.128,0.128,0.157,0.075,0.092,0.082,0.118,0.135,0.125
700,354.69,385,460,520,315,375,425,630,755,850,500,595,670,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
750,380.02,400,475,535,320,385,435,655,785,885,515,620,700,0.125,0.125,0.157,0.062,0.079,0.069,0.095,0.112,0.102
800,405.36,410,490,555,330,395,445,680,815,920,535,645,725,0.121,0.121,0.151,0.049,0.062,0.059,0.075,0.089,0.082
900,456.03,435,520,585,355,425,480,730,870,980,580,700,790,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1000,506.7,455,545,615,375,445,500,780,935,1055,625,750,845,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1250,633.38,495,590,665,405,485,545,890,1065,1200,710,855,965,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1500,760.05,525,625,705,435,520,585,980,1175,1325,795,950,1070,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1750,886.73,545,650,735,455,545,615,1070,1280,1445,875,1050,1185,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2000,1013.4,555,665,750,470,560,630,1155,1385,1560,960,1150,1295,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
